,president,fk_grade,readability
0,adams-j,27.5,8.55
1,adams-jq,18.5,31.89
2,buchanan,15.4,40.01
3,buren,18.5,31.89
4,bush-g,6.0,80.62
5,bush-gw,9.1,61.67
6,carter,11.1,56.59
7,cleveland,18.1,32.91
8,clinton,8.7,62.68
9,coolidge,11.1,51.18
10,eisenhower,9.9,59.64
11,garfield,13.4,45.09
12,grant,13.0,51.52
13,harding,11.9,49.15
14,harrison-b,13.8,44.07
15,harrison-w,18.5,31.89
16,hayes,19.3,29.86
17,hoover,11.9,49.15
18,jackson,20.5,26.82
19,jefferson,18.1,38.32
20,johnson-lb,6.8,73.17
21,kennedy,10.3,64.04
22,lincoln,12.3,53.55
23,madison,24.7,15.65
24,mckinley,15.0,41.03
25,monroe,12.6,52.53
26,nixon,8.7,68.1
27,obama,9.5,66.07
28,pierce,15.4,40.01
29,polk,15.4,40.01
30,reagan,9.1,61.67
31,roosevelt-fd,10.7,57.61
32,roosevelt-t,12.2,58.96
33,taft,16.2,37.98
34,taylor,22.4,21.74
35,truman,10.7,52.19
36,trump,8.0,64.71
37,washington,27.5,8.55
38,wilson,10.3,64.04
