,president,word_count
0,adams-j,2322
1,adams-jq,2917
2,buchanan,2836
3,buren,3844
4,bush-g,2337
5,bush-gw,1589
6,carter,1229
7,cleveland,1691
8,clinton,1596
9,coolidge,4056
10,eisenhower,2470
11,garfield,2993
12,grant,1132
13,harding,3346
14,harrison-b,4407
15,harrison-w,8465
16,hayes,2494
17,hoover,3766
18,jackson,1126
19,jefferson,1732
20,johnson-lb,1496
21,kennedy,1368
22,lincoln,3631
23,madison,1181
24,mckinley,3977
25,monroe,3375
26,nixon,2131
27,obama,2411
28,pierce,3342
29,polk,4815
30,reagan,4041
31,roosevelt-fd,1883
32,roosevelt-t,991
33,taft,5442
34,taylor,1091
35,truman,2284
36,trump,1467
37,washington,1431
38,wilson,1712
